Year,Team,Sample,Tm.FT_Perc,GMS,W,L,Tm.Pts,Opp.Pts
1987,ATL,Annual,0.758737317,82,57,25,9024,8431
1987,BOS,Annual,0.80817464,82,59,23,9237,8692
1987,CHI,Annual,0.778172138,82,40,42,8596,8523
1987,CLE,Annual,0.696554424,82,31,51,8558,8871
1987,DAL,Annual,0.790500736,82,55,27,9567,9050
1987,DEN,Annual,0.7693806,82,37,45,9569,9640
1987,DET,Annual,0.76518063,82,52,30,9118,8836
1987,GSW,Annual,0.78019802,82,42,40,9188,9380
1987,HOU,Annual,0.741086587,82,42,40,8765,8683
1987,IND,Annual,0.781927155,82,41,41,8698,8751
1987,LAC,Annual,0.74194831,82,12,70,8566,9503
1987,LAL,Annual,0.789329149,82,65,17,9656,8893
1987,MIL,Annual,0.765582125,82,50,32,9052,8731
1987,NJN,Annual,0.767165324,82,24,58,8893,9307
1987,NYK,Annual,0.730313294,82,24,58,8508,9022
1987,PHI,Annual,0.753152465,82,45,37,8729,8745
1987,PHO,Annual,0.760304122,82,36,46,9111,9311
1987,POR,Annual,0.774931694,82,49,33,9667,9410
1987,SAC,Annual,0.796288826,82,29,53,9095,9359
1987,SAS,Annual,0.742146597,82,28,54,8882,9300
1987,SEA,Annual,0.757681836,82,39,43,9325,9287
1987,UTA,Annual,0.726245291,82,44,38,8844,8811
1987,WSB,Annual,0.764519953,82,42,40,8690,8802
1988,ATL,Annual,0.76730848,82,50,32,8844,8549
1988,BOS,Annual,0.802608696,82,57,25,9315,8828
1988,CHI,Annual,0.758667267,82,50,32,8609,8330
1988,CLE,Annual,0.74364233,82,42,40,8566,8504
1988,DAL,Annual,0.788844622,82,53,29,8960,8602
1988,DEN,Annual,0.804281346,82,54,28,9573,9239
1988,DET,Annual,0.756891271,82,54,28,8957,8533
1988,GSW,Annual,0.795825771,82,20,62,8771,9453
1988,HOU,Annual,0.779701973,82,46,36,8935,8821
1988,IND,Annual,0.780020182,82,38,44,8581,8646
1988,LAC,Annual,0.713232104,82,17,65,8103,8949
1988,LAL,Annual,0.788709677,82,62,20,9250,8771
1988,MIL,Annual,0.774957699,82,42,40,8697,8653
1988,NJN,Annual,0.728769497,82,19,63,8235,8900
1988,NYK,Annual,0.758889853,82,38,44,8655,8695
1988,PHI,Annual,0.764188942,82,36,46,8667,8785
1988,PHO,Annual,0.764090909,82,28,54,8901,9268
1988,POR,Annual,0.76971492,82,53,29,9518,9147
1988,SAC,Annual,0.772375215,82,24,58,8855,9327
1988,SAS,Annual,0.733416252,82,31,51,9314,9714
1988,SEA,Annual,0.747747748,82,44,38,9135,8966
1988,UTA,Annual,0.749584027,82,47,35,8899,8597
1988,WSB,Annual,0.773021002,82,38,44,8653,8716
1989,ATL,Annual,0.800295312,82,52,30,9102,8699
1989,BOS,Annual,0.783312048,82,42,40,8958,8863
1989,CHH,Annual,0.766990291,82,20,62,8566,9265
1989,CHI,Annual,0.786324786,82,47,35,8726,8608
1989,CLE,Annual,0.746923708,82,57,25,8923,8300
1989,DAL,Annual,0.788775961,82,38,44,8484,8583
1989,DEN,Annual,0.786949006,82,44,38,9675,9536
1989,DET,Annual,0.769230769,82,63,19,8740,8264
1989,GSW,Annual,0.798657718,82,43,39,9558,9583
1989,HOU,Annual,0.755441235,82,45,37,8897,8819
1989,IND,Annual,0.789010989,82,28,54,8767,9109
1989,LAC,Annual,0.723423423,82,21,61,8712,9525
1989,LAL,Annual,0.801834131,82,57,25,9406,8818
1989,MIA,Annual,0.702330005,82,15,67,8016,8937
1989,MIL,Annual,0.820738875,82,49,33,8932,8636
1989,NJN,Annual,0.731415929,82,26,56,8506,9027
1989,NYK,Annual,0.751901944,82,52,30,9567,9258
1989,PHI,Annual,0.786741214,82,46,36,9174,9051
1989,PHO,Annual,0.790670779,82,55,27,9727,9096
1989,POR,Annual,0.740480132,82,39,43,9395,9275
