,Boat,Ranking,Team,Score,Date
0,1V,1,Yale University,1.00,"April 26, 2023"
1,1V,2,Princeton University,2.43,"April 26, 2023"
2,1V,3,Syracuse University,2.50,"April 26, 2023"
3,1V,4,Dartmouth College,3.64,"April 26, 2023"
4,1V,5,Harvard University,4.93,"April 26, 2023"
5,1V,6,Northeastern University,5.43,"April 26, 2023"
6,1V,7,Brown University,6.57,"April 26, 2023"
7,1V,8,Wisconsin University,7.57,"April 26, 2023"
8,1V,9,University of Pennsylvania,8.79,"April 26, 2023"
9,1V,10,Boston University,9.29,"April 26, 2023"
10,1V,11,Cornell University,9.93,"April 26, 2023"
11,1V,12,Georgetown University,11.71,"April 26, 2023"
12,1V,13,US Naval Academy,12.29,"April 26, 2023"
13,1V,14,College of Holy Cross,13.14,"April 26, 2023"
14,1V,15,Columbia University,13.29,"April 26, 2023"
0,2V,1,Brown University,1.00,"April 26, 2023"
1,2V,2,Dartmouth College,2.00,"April 26, 2023"
2,2V,3,Syracuse University,2.92,"April 26, 2023"
3,2V,4,Yale University,3.69,"April 26, 2023"
4,2V,5,Harvard University,4.69,"April 26, 2023"
5,2V,6,Princeton University,5.54,"April 26, 2023"
6,2V,7,Northeastern University,6.69,"April 26, 2023"
7,2V,8,University of Pennsylvania,7.54,"April 26, 2023"
8,2V,9,US Naval Academy,8.69,"April 26, 2023"
9,2V,10,Boston University,8.92,"April 26, 2023"
10,2V,T-11,Cornell University,10.62,"April 26, 2023"
11,2V,T-11,Wisconsin University,10.62,"April 26, 2023"
12,2V,13,College of Holy Cross,12.15,"April 26, 2023"
13,2V,14,Georgetown University,12.92,"April 26, 2023"
0,3V,1,Yale University,1.00,"April 26, 2023"
1,3V,2,Harvard University,2.25,"April 26, 2023"
2,3V,3,Brown University,3.08,"April 26, 2023"
3,3V,4,Dartmouth College,4.08,"April 26, 2023"
4,3V,5,Princeton University,4.75,"April 26, 2023"
5,3V,6,Syracuse University,4.83,"April 26, 2023"
6,3V,7,US Naval Academy,6.42,"April 26, 2023"
7,3V,8,University of Pennsylvania,8.00,"April 26, 2023"
8,3V,9,Cornell University,8.58,"April 26, 2023"
9,3V,10,Boston University,8.83,"April 26, 2023"
10,3V,11,Northeastern University,9.75,"April 26, 2023"
11,3V,12,Wisconsin University,10.92,"April 26, 2023"
12,3V,13,College of Holy Cross,12.00,"April 26, 2023"
0,4V,1,Yale University,1.17,"April 26, 2023"
1,4V,2,Harvard University,2.25,"April 26, 2023"
2,4V,3,Dartmouth College,2.92,"April 26, 2023"
3,4V,4,Princeton University,4.42,"April 26, 2023"
4,4V,5,Brown University,4.58,"April 26, 2023"
5,4V,6,US Naval Academy,5.75,"April 26, 2023"
6,4V,7,Boston University,6.08,"April 26, 2023"
7,4V,8,Syracuse University,7.00,"April 26, 2023"
8,4V,9,Northeastern University,8.00,"April 26, 2023"
9,4V,T-10,Cornell University,9.92,"April 26, 2023"
10,4V,T-10,Wisconsin University,9.92,"April 26, 2023"
11,4V,12,University of Pennsylvania,10.50,"April 26, 2023"
12,4V,13,College of Holy Cross,12.00,"April 26, 2023"
0,5V,1,Yale University,1.00,"April 26, 2023"
1,5V,2,Dartmouth College,2.00,"April 26, 2023"
2,5V,3,Brown University,2.83,"April 26, 2023"
3,5V,4,Harvard University,3.83,"April 26, 2023"
4,5V,5,Princeton University,4.33,"April 26, 2023"
5,5V,6,US Naval Academy,4.50,"April 26, 2023"
6,5V,7,Cornell University,6.00,"April 26, 2023"
0,1V,1,Yale University,1.14,"April 19, 2023"
1,1V,2,Syracuse University,2.14,"April 19, 2023"
2,1V,3,Princeton University,3.07,"April 19, 2023"
3,1V,4,Dartmouth College,3.21,"April 19, 2023"
4,1V,5,Harvard University,4.86,"April 19, 2023"
5,1V,6,Northeastern University,5.5,"April 19, 2023"
6,1V,7,Brown University,6.57,"April 19, 2023"
7,1V,8,University of Wisconsin,7.57,"April 19, 2023"
8,1V,T-9,Boston University,9.14,"April 19, 2023"
9,1V,T-9,Cornell University,9.14,"April 19, 2023"
10,1V,11,University of Pennsylvania,9.79,"April 19, 2023"
11,1V,12,Georgetown University,12.07,"April 19, 2023"
12,1V,13,US Naval Academy,12.21,"April 19, 2023"
13,1V,14,College of Holy Cross,13,"April 19, 2023"
14,1V,15,Columbia University,13.07,"April 19, 2023"
0,2V,1,Brown University,2.08,"April 19, 2023"
1,2V,2,Dartmouth College,2.17,"April 19, 2023"
2,2V,3,Syracuse University,3.46,"April 19, 2023"
3,2V,4,Yale University,3.85,"April 19, 2023"
4,2V,5,Harvard University,5,"April 19, 2023"
5,2V,6,Princeton University,5.46,"April 19, 2023"
6,2V,7,Northeastern University,7.31,"April 19, 2023"
7,2V,8,US Naval Academy,7.92,"April 19, 2023"
8,2V,9,University of Pennsylvania,8.15,"April 19, 2023"
9,2V,10,Boston University,8.23,"April 19, 2023"
10,2V,11,Cornell University,9.43,"April 19, 2023"
11,2V,12,University of Wisconsin,10.15,"April 19, 2023"
12,2V,13,College of Holy Cross,12.08,"April 19, 2023"
13,2V,14,Georgetown University,12.62,"April 19, 2023"
14,2V,15,Columbia University,13.21,"April 19, 2023"
0,3V,1,Yale University,1.17,"April 19, 2023"
1,3V,2,Harvard University,1.92,"April 19, 2023"
2,3V,3,Brown University,2.75,"April 19, 2023"
3,3V,4,Dartmouth College,4.33,"April 19, 2023"
4,3V,T-5,Princeton University,4.92,"April 19, 2023"
5,3V,T-5,Syracuse University,4.92,"April 19, 2023"
6,3V,7,US Naval Academy,6.5,"April 19, 2023"
7,3V,8,Cornell University,8,"April 19, 2023"
8,3V,9,University of Pennsylvania,8.42,"April 19, 2023"
9,3V,10,Boston University,8.75,"April 19, 2023"
10,3V,11,Northeastern University,9.83,"April 19, 2023"
11,3V,12,University of Wisconsin,11,"April 19, 2023"
12,3V,13,College of Holy Cross,12,"April 19, 2023"
0,4V,1,Yale University,1.17,"April 19, 2023"
1,4V,2,Harvard University,2.25,"April 19, 2023"
2,4V,3,Dartmouth College,2.92,"April 19, 2023"
3,4V,4,Brown University,4.42,"April 19, 2023"
4,4V,5,Princeton University,5,"April 19, 2023"
5,4V,T-6,Boston University,5.75,"April 19, 2023"
6,4V,T-6,US Naval Academy,5.75,"April 19, 2023"
7,4V,8,Syracuse University,7.08,"April 19, 2023"
8,4V,9,Northeastern University,7.92,"April 19, 2023"
9,4V,10,Cornell University,9.5,"April 19, 2023"
10,4V,11,University of Pennsylvania,10,"April 19, 2023"
11,4V,12,University of Wisconsin,10.75,"April 19, 2023"
12,4V,13,College of Holy Cross,12,"April 19, 2023"
0,5V,1,Yale University,1,"April 19, 2023"
1,5V,T-2,Brown University,2.5,"April 19, 2023"
2,5V,T-2,Harvard University,2.5,"April 19, 2023"
3,5V,4,Dartmouth College,3.33,"April 19, 2023"
4,5V,5,US Naval Academy,4,"April 19, 2023"
5,5V,6,Princeton University,5.5,"April 19, 2023"
6,5V,7,Cornell University,5.67,"April 19, 2023"
0,1V,1,YAL,1,"April 12, 2023"
1,1V,2,SYR,2.5,"April 12, 2023"
2,1V,3,DAR,2.86,"April 12, 2023"
3,1V,4,HAR,3.93,"April 12, 2023"
4,1V,5,BRO,5,"April 12, 2023"
5,1V,6,PRI,5.14,"April 12, 2023"
6,1V,7,NOR,6.14,"April 12, 2023"
7,1V,8,COR,7.93,"April 12, 2023"
8,1V,9,WIS,8.14,"April 12, 2023"
9,1V,10,BOS,9.64,"April 12, 2023"
10,1V,11,PEN,9.79,"April 12, 2023"
11,1V,12,HOL,11.93,"April 12, 2023"
12,1V,13,COL,12.21,"April 12, 2023"
13,1V,14,GEO,12.86,"April 12, 2023"
14,1V,15,NAV,13.5,"April 12, 2023"
0,2V,1,BRO,1.07,"April 12, 2023"
1,2V,2,DAR,2.36,"April 12, 2023"
2,2V,3,SYR,2.71,"April 12, 2023"
3,2V,4,YAL,3.93,"April 12, 2023"
4,2V,5,HAR,4.36,"April 12, 2023"
5,2V,6,PRI,5.86,"April 12, 2023"
6,2V,7,NOR,6.71,"April 12, 2023"
7,2V,8,PEN,7.79,"April 12, 2023"
8,2V,9,COR,8.43,"April 12, 2023"
9,2V,10,BOS,9,"April 12, 2023"
10,2V,11,WIS,10.5,"April 12, 2023"
11,2V,12,NAV,10.64,"April 12, 2023"
12,2V,13,HOL,12.71,"April 12, 2023"
13,2V,14,COL,12.79,"April 12, 2023"
14,2V,15,GEO,13.64,"April 12, 2023"
0,3V,1,YAL,1.42,"April 12, 2023"
1,3V,2,HAR,2,"April 12, 2023"
2,3V,3,BRO,3.17,"April 12, 2023"
3,3V,4,DAR,4.25,"April 12, 2023"
4,3V,5,PRI,4.58,"April 12, 2023"
5,3V,6,SYR,5.75,"April 12, 2023"
6,3V,7,NAV,6.67,"April 12, 2023"
7,3V,8,COR,7,"April 12, 2023"
8,3V,9,PEN,7.92,"April 12, 2023"
9,3V,10,BOS,8.83,"April 12, 2023"
10,3V,11,NOR,9.92,"April 12, 2023"
11,3V,12,WIS,11,"April 12, 2023"
12,3V,13,HOL,12,"April 12, 2023"
0,4V,1,YAL,1,"April 12, 2023"
1,4V,2,HAR,2.25,"April 12, 2023"
2,4V,3,DAR,3.25,"April 12, 2023"
3,4V,4,BRO,4.25,"April 12, 2023"
4,4V,5,PRI,4.75,"April 12, 2023"
5,4V,6,BOS,5,"April 12, 2023"
6,4V,7,NOR,7.33,"April 12, 2023"
7,4V,8,SYR,7.67,"April 12, 2023"
8,4V,9,NAV,8.08,"April 12, 2023"
9,4V,10,PEN,8.75,"April 12, 2023"
10,4V,11,COR,9.83,"April 12, 2023"
11,4V,12,WIS,10.42,"April 12, 2023"
12,4V,13,HOL,11.92,"April 12, 2023"
0,5V,1,YAL,1,"April 12, 2023"
1,5V,2,BRO,2,"April 12, 2023"
2,5V,3,HAR,2.83,"April 12, 2023"
3,5V,4,DAR,3.5,"April 12, 2023"
4,5V,5,NAV,4,"April 12, 2023"
5,5V,6,PRI,5.33,"April 12, 2023"
6,5V,7,COR,5.8,"April 12, 2023"
0,1V,1,Yale University,1.00,"May 6, 2022"
1,1V,2,Harvard University,2.33,"May 6, 2022"
2,1V,3,Dartmouth College,2.50,"May 6, 2022"
3,1V,4,Syracuse University,4.25,"May 6, 2022"
4,1V,5,Brown University,4.33,"May 6, 2022"
5,1V,6,Northeastern University,5.58,"May 6, 2022"
6,1V,7,Princeton University,6.58,"May 6, 2022"
7,1V,8,Cornell University,7.75,"May 6, 2022"
8,1V,9,Boston University,8.50,"May 6, 2022"
9,1V,10,US Naval Academy,9.67,"May 6, 2022"
10,1V,11,University of Wisconsin,9.75,"May 6, 2022"
11,1V,12,University of Pennsylvania,11.08,"May 6, 2022"
12,1V,13,Columbia University,12.08,"May 6, 2022"
13,1V,14,Georgetown University,13.00,"May 6, 2022"
14,1V,15,College of Holy Cross,14.00,"May 6, 2022"
0,2V,1,Yale University,1.00,"May 6, 2022"
1,2V,2,Dartmouth College,1.92,"May 6, 2022"
2,2V,3,Brown University,2.92,"May 6, 2022"
3,2V,4,Harvard University,3.69,"May 6, 2022"
4,2V,5,Boston University,5.07,"May 6, 2022"
5,2V,6,Princeton University,5.69,"May 6, 2022"
6,2V,7,Syracuse University,6.23,"May 6, 2022"
7,2V,8,University of Wisconsin,8.15,"May 6, 2022"
8,2V,9,University of Pennsylvania,8.77,"May 6, 2022"
9,2V,10,US Naval Academy,9.17,"May 6, 2022"
10,2V,11,Northeastern University,10.31,"May 6, 2022"
11,2V,12,Cornell University,10.38,"May 6, 2022"
12,2V,13,Columbia University,12.15,"May 6, 2022"
13,2V,14,Georgetown University,13.08,"May 6, 2022"
14,2V,15,College of Holy Cross,14.00,"May 6, 2022"
0,3V,1,Yale University,1,"May 6, 2022"
1,3V,2,Harvard University,2.09,"May 6, 2022"
