Boat,Team,Standing,Date,Location,
1V,YALE,1,15-May-22,Worcester,
1V,BROWN,2,15-May-22,Worcester,
1V,DARTMOUTH,3,15-May-22,Worcester,
1V,PRINCETON,4,15-May-22,Worcester,
1V,HARVARD,5,15-May-22,Worcester,
1V,SYRACUSE,6,15-May-22,Worcester,
1V,NORTHEASTERN,7,15-May-22,Worcester,
1V,WISCONSIN,8,15-May-22,Worcester,
1V,BU,9,15-May-22,Worcester,
1V,CORNELL,10,15-May-22,Worcester,
1V,NAVY,11,15-May-22,Worcester,
1V,COLUMBIA,12,15-May-22,Worcester,
1V,PENNSYLVANIA,13,15-May-22,Worcester,
1V,HOLY CROSS,14,15-May-22,Worcester,
1V,GEORGETOWN,15,15-May-22,Worcester,
2V,YALE,1,15-May-22,Worcester,
2V,BROWN,2,15-May-22,Worcester,
2V,DARTMOUTH,3,15-May-22,Worcester,
2V,HARVARD,4,15-May-22,Worcester,
2V,PRINCETON,5,15-May-22,Worcester,
2V,BU,6,15-May-22,Worcester,
2V,BU,7,15-May-22,Worcester,
2V,SYRACUSE,8,15-May-22,Worcester,
2V,NAVY,9,15-May-22,Worcester,
2V,NORTHEASTERN,10,15-May-22,Worcester,
2V,CORNELL,11,15-May-22,Worcester,
2V,WISCONSIN,12,15-May-22,Worcester,
2V,PENNSYLVANIA,13,15-May-22,Worcester,
2V,COLUMBIA,14,15-May-22,Worcester,
2V,GEORGETOWN,15,15-May-22,Worcester,
,HOLY CROSS,16,15-May-22,Worcester,
3V,YALE,1,15-May-22,Worcester,
3V,BROWN,2,15-May-22,Worcester,
3V,HARVARD,3,15-May-22,Worcester,
3V,DARTMOUTH,4,15-May-22,Worcester,
3V,PRINCETON,5,15-May-22,Worcester,
3V,SYRACUSE,6,15-May-22,Worcester,
3V,CORNELL,7,15-May-22,Worcester,
3V,BU,8,15-May-22,Worcester,
3V,NAVY,9,15-May-22,Worcester,
3V,WISCONSIN,10,15-May-22,Worcester,
3V,PENNSYLVANIA,11,15-May-22,Worcester,
3V,HOLY CROSS,12,15-May-22,Worcester,
4V,HARVARD,1,15-May-22,Worcester,
4V,DARTMOUTH,2,15-May-22,Worcester,
4V,BROWN,3,15-May-22,Worcester,
4V,YALE,4,15-May-22,Worcester,
4V,PRINCETON,5,15-May-22,Worcester,
4V,NAVY,6,15-May-22,Worcester,
4V,BU,7,15-May-22,Worcester,
4V,CORNELL,8,15-May-22,Worcester,
4V,SYRACUSE,9,15-May-22,Worcester,
4V,WISCONSIN,10,15-May-22,Worcester,
4V,PENNSYLVANIA,11,15-May-22,Worcester,
1V,YALE,1,19-May-19,"Lake Quinsigamond, MA",
1V,HARVARD,2,19-May-19,"Lake Quinsigamond, MA",
1V,BROWN,3,19-May-19,"Lake Quinsigamond, MA",
1V,PRINCETON,4,19-May-19,"Lake Quinsigamond, MA",
1V,NORTHEASTERN,5,19-May-19,"Lake Quinsigamond, MA",
1V,BU,6,19-May-19,"Lake Quinsigamond, MA",
1V,SYRACUSE,7,19-May-19,"Lake Quinsigamond, MA",
